Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS2 - Post an idea,Chrome 106.0.0.0,,,2023-08-26 16:37:35,2023-08-26 16:48:17,10m - 41.531s,FAILED
,,,,,,,
Test Cases/Login,Chrome 106.0.0.0,,,2023-08-26 16:37:35,2023-08-26 16:39:06,1m - 30.281s,PASSED
Start listener action : enableSauceLabs,Chrome 106.0.0.0,,,2023-08-26 16:37:36,2023-08-26 16:37:36,0.034s,PASSED
"openBrowser("""")",Chrome 106.0.0.0,,,2023-08-26 16:37:36,2023-08-26 16:37:40,4.542s,PASSED
"navigateToUrl(""https://katalon-inc--sc.sandbox.my.site.com/katalonhelpcenter/s/"")",Chrome 106.0.0.0,,,2023-08-26 16:37:40,2023-08-26 16:37:51,10.632s,PASSED
"click(findTestObject(""Object Repository/button_Log in""))",Chrome 106.0.0.0,,,2023-08-26 16:37:51,2023-08-26 16:38:00,9.156s,PASSED
"click(findTestObject(""Object Repository/a_Katalon Account""))",Chrome 106.0.0.0,,,2023-08-26 16:38:00,2023-08-26 16:38:31,31.096s,PASSED
"setText(findTestObject(""Object Repository/input_Email_email""), ""user3@5wphoto.com"")",Chrome 106.0.0.0,,,2023-08-26 16:38:31,2023-08-26 16:38:35,3.455s,PASSED
"setEncryptedText(findTestObject(""Object Repository/input_Password_password""), ""SLwXyDhhPsbL49YyfNlrYA=="")",Chrome 106.0.0.0,,,2023-08-26 16:38:35,2023-08-26 16:38:37,2.581s,PASSED
"click(findTestObject(""Object Repository/button_Sign In""))",Chrome 106.0.0.0,,,2023-08-26 16:38:37,2023-08-26 16:38:42,4.531s,PASSED
delay(10),Chrome 106.0.0.0,,,2023-08-26 16:38:42,2023-08-26 16:38:52,10.087s,PASSED
"navigateToUrl(""https://katalon-inc--sc.sandbox.my.site.com/katalonhelpcenter/s/ideas"")",Chrome 106.0.0.0,,,2023-08-26 16:38:52,2023-08-26 16:39:06,13.690s,PASSED
Start listener action : autoUpdateJobStatus,Chrome 106.0.0.0,,,2023-08-26 16:39:06,2023-08-26 16:39:06,0.005s,PASSED
,,,,,,,
Test Cases/Post an idea,Chrome 106.0.0.0,,,2023-08-26 16:46:14,2023-08-26 16:48:17,2m - 2.993s,FAILED
